time,section,Whisky,Elderberry,Vodka,Almdudler,Wine,Lemon Soda,rainbowX,rainbowY
23484,Queer,0.05,0.4,0.15,0.3,0.0,0.01,400.0,555.4628
289890,Y,0.2,0.0,0.05,0.8,0.0,0.01,240.0,548.1656
430193,Queer,0.0807156,0.30048382,0.13495696,0.4236607,0.0,0.009999871,362.0,529.9918
536058,Queer,0.05,0.4,0.15,0.3,0.0,0.01,400.0,592.4623
668209,X,0.0,0.7,0.1,0.0,0.5,0.01,560.0,538.5272
724323,Queer,0.05,0.4,0.15,0.3,0.0,0.01,400.0,564.78217
898880,Queer,0.05,0.4,0.15,0.3,0.0,0.01,400.0,577.0686
1008107,Queer,0.106226325,0.22506255,0.1176666,0.5231003,0.0,0.009999871,338.0,574.33704
1242871,Queer,0.11556834,0.19868612,0.110897005,0.5581292,0.0,0.009999871,330.0,563.4476
1484392,Y,0.21092075,0.0,0.04362881,0.8073014,0.0,0.009999812,221.0,587.32135
1562381,Y,0.2,0.0,0.05,0.8,0.0,0.01,240.0,594.2622
1579784,Queer,0.06041187,0.36475682,0.14620054,0.34196317,0.0,0.009999812,385.0,513.2514
