time,section,Whisky,Elderberry,Vodka,Almdudler,Wine,Lemon Soda,rainbowX,rainbowY
86701,Y,20.0,0.0,0.0,80.0,0.0,0.0,240.0,585.2679
637977,Queer,0.0,13.078613,22.572021,24.46289,0.0,54.10034,352.0,585.64294
1772184,Queer,0.0,12.787031,22.142109,25.780624,0.0,52.98117,350.0,574.5996
1888107,Queer,0.0,25.241652,30.626318,0.0,0.0,61.94008,435.0,513.89294
1941518,Butch,26.060741,0.0,0.0,47.05468,0.0,24.061466,115.0,567.57715
1983972,Femme,0.0,30.976562,0.0,0.0,67.75391,0.0,780.0,596.61707
2119318,Queer,0.0,20.380175,30.175295,0.0,0.0,69.93917,402.0,512.84143
2372818,Butch,27.143555,0.0,0.0,34.610596,0.0,33.552094,84.0,528.598
2451719,Y,20.0,0.0,0.0,80.0,0.0,0.0,240.0,533.00244
2565667,Butch,27.846874,0.0,0.0,25.780626,0.0,40.30805,63.0,559.6772
2671856,Queer,0.0,29.439999,29.36,0.0,13.6,48.72,460.0,583.90765
3060533,Y,12.353516,0.0,10.810547,58.203125,0.0,22.88086,305.0,549.2804
3088705,Queer,0.0,23.581728,30.765146,0.0,0.0,65.82946,425.0,526.25946
3223065,Queer,0.0,29.439999,29.36,0.0,13.6,48.72,460.0,542.3772
3512184,Queer,0.0,29.439999,29.36,0.0,13.6,48.72,460.0,562.3507
3584631,Y,22.96172,0.0,0.0,72.12024,0.0,0.0,190.0,559.4804
3637766,Y,12.353516,0.0,10.810547,58.203125,0.0,22.88086,305.0,518.84973
3708726,Queer,0.0,10.17334,18.028564,38.07617,0.0,42.06665,334.0,585.382
3893522,Y,17.22519,0.0,0.0,75.57495,0.0,0.0,269.0,539.92645
3977035,Y,20.0,0.0,0.0,80.0,0.0,0.0,240.0,593.14136
