time,section,Whisky,Elderberry,Vodka,Almdudler,Wine,Lemon Soda,rainbowX,rainbowY
49641,Queer,0.0,19.36554,29.634857,0.0,0.0,69.803925,395.0,598.8647
109424,Femme,0.0,37.763313,11.9086685,0.0,53.94598,0.0,660.0,558.52374
236813,Queer,0.0,15.394395,25.727255,14.573521,0.0,62.038383,367.0,584.9802
423875,Femme,0.0,35.872185,0.0,0.0,58.30609,0.0,696.0,565.9455
449320,X,0.0,40.0,20.0,0.0,40.0,0.0,560.0,538.89343
610758,Queer,0.0,27.100992,30.210726,0.0,0.0,56.602818,447.0,520.40533
734935,Queer,0.0,20.0,30.0,0.0,0.0,70.0,400.0,562.77203
920936,Butch,29.257618,0.0,0.0,0.0,0.0,54.123974,20.0,583.77527
972755,Queer,0.0,11.185075,19.671984,33.23065,0.0,46.45829,340.0,584.9213
1085818,Queer,0.0,20.63919,30.278778,0.0,0.0,69.832306,404.0,577.5888
1520106,X,0.0,37.92,23.28,0.0,32.000004,11.760006,522.0,585.3926
1747620,Queer,0.0,32.317574,27.86289,0.0,18.99466,37.564854,477.0,520.9094
1809069,Queer,0.0,11.185075,19.671984,33.23065,0.0,46.45829,340.0,583.78815
1871062,X,0.0,35.218124,25.831873,0.0,25.14688,24.89812,498.0,514.1496
1990587,Butch,27.256054,0.0,0.0,33.230656,0.0,34.607048,80.0,589.17334
2104868,Queer,0.0,11.912285,20.814873,29.808826,0.0,49.492413,345.0,512.42633
2298844,X,0.0,34.95983,26.03704,0.0,24.56118,26.082726,496.0,520.2289
2360901,Queer,0.0,11.185075,19.671984,33.23065,0.0,46.45829,340.0,511.96204
2413054,Queer,0.0,30.97462,28.622255,0.0,16.40249,42.95423,470.0,560.41187
2504849,Femme,0.0,38.165974,12.648896,0.0,52.868183,0.0,651.0,572.45636
2638288,Queer,0.0,32.754288,27.592588,0.0,19.868603,35.746548,480.0,513.0615
2715491,Butch,25.131054,0.0,0.0,56.31778,0.0,17.038069,140.0,515.9219
2847368,Butch,25.131054,0.0,0.0,56.31778,0.0,17.038069,140.0,598.7479
2985137,Butch,29.257618,0.0,0.0,0.0,0.0,54.123974,20.0,533.6639
3116031,Queer,0.0,21.715979,30.58949,0.0,0.0,68.90105,412.0,556.89655
3382086,Queer,0.0,12.787031,22.142109,25.780624,0.0,52.98117,350.0,529.861
3483619,Queer,0.0,20.0,30.0,0.0,0.0,70.0,400.0,558.3935
3690704,Y,20.0,0.0,0.0,80.0,0.0,0.0,240.0,543.8312
3768624,X,0.0,40.0,20.0,0.0,40.0,0.0,560.0,557.84827
3884044,X,0.0,35.843987,25.311481,0.0,26.605345,21.979988,503.0,595.9629
3994702,Queer,0.0,20.125582,30.061136,0.0,0.0,69.99319,400.0,586.01306
4079337,X,0.0,40.170002,18.314999,0.0,43.54,0.0,581.0,566.54395
4210081,Queer,0.0,22.418488,30.703388,0.0,0.0,67.93466,418.0,527.3475
4286885,Y,23.4375,0.0,0.0,69.375,0.0,0.0,180.0,590.80524
4372938,Queer,0.0,12.787031,22.142109,25.780624,0.0,52.98117,350.0,512.40857
4409931,Y,10.8654785,0.0,13.201904,51.76758,0.0,29.163818,315.0,555.4148
4526323,Queer,0.0,23.581728,30.765146,0.0,0.0,65.82946,425.0,540.4631
4685869,Queer,0.0,11.912285,20.814873,29.808826,0.0,49.492413,345.0,585.6483
4748261,Y,22.30547,0.0,0.0,75.233665,0.0,0.0,202.0,599.0539
