time,section,Whisky,Elderberry,Vodka,Almdudler,Wine,Lemon Soda,rainbowX,rainbowY
4960558,Queer,0.0,18.44797,28.95539,0.0,0.0,68.903824,388.0,518.1787
5150536,Queer,0.0,21.994476,30.642242,0.0,0.0,68.54843,414.0,562.9392
5177619,Queer,0.0,22.276344,30.685375,0.0,0.0,68.15036,416.0,541.31946
5506149,X,0.0,39.008324,21.897148,0.0,35.46257,0.0,537.0,598.8095
5793075,Queer,0.0,0.0,15.140303,46.371643,0.0,34.327995,323.0,580.95557
5930875,Queer,0.0,12.787031,22.142109,25.780624,0.0,52.98117,350.0,591.5297
5967873,X,0.0,39.204037,14.815382,0.0,49.573277,0.0,625.0,545.74945
6193082,Queer,0.0,21.994476,30.642242,0.0,0.0,68.54843,414.0,551.24915
6425951,Butch,27.421875,0.0,0.0,31.171875,0.0,36.18164,75.0,545.48145
6580257,Queer,0.0,0.0,14.897789,47.05468,0.0,33.679695,322.0,593.01294
6614588,Queer,0.0,24.783407,30.688467,0.0,0.0,63.105206,432.0,586.7767
6882838,Queer,0.0,20.380175,30.175295,0.0,0.0,69.93917,402.0,537.3805
6963714,Y,19.201876,0.0,0.0,79.515,0.0,0.0,249.0,536.07
7191781,Y,14.532928,0.0,0.0,66.849365,0.0,14.223175,290.0,529.65234
7289983,Queer,0.0,22.418488,30.703388,0.0,0.0,67.93466,418.0,523.7928
7485570,Queer,0.0,25.548979,30.57524,0.0,0.0,61.12317,437.0,521.1118
7555532,Queer,0.0,19.36554,29.634857,0.0,0.0,69.803925,395.0,545.28125
7691234,Butch,28.246876,0.0,0.0,20.604376,0.0,44.27258,51.0,529.7459
7837656,Queer,0.0,0.0,15.382723,45.68669,0.0,34.976494,324.0,518.8561
7897791,Queer,0.0,12.349548,21.485138,27.781982,0.0,51.25992,348.0,547.60974
8043958,Queer,0.0,20.0,30.0,0.0,0.0,70.0,400.0,580.9628
8106027,Queer,0.0,20.125582,30.061136,0.0,0.0,69.99319,400.0,556.49146
8132177,Queer,0.0,16.388287,26.914478,10.729607,0.0,64.811035,373.0,513.3973
8234908,Queer,0.0,20.0,30.0,0.0,0.0,70.0,400.0,563.2444
8271078,Queer,0.0,20.0,30.0,0.0,0.0,70.0,400.0,524.60455
8313420,Butch,29.257618,0.0,0.0,0.0,0.0,54.123974,20.0,592.66876
8378870,Butch,29.257618,0.0,0.0,0.0,0.0,54.123974,20.0,538.10187
8417128,X,0.0,40.0,20.0,0.0,40.0,0.0,560.0,561.6857
8504275,Queer,0.0,0.0,16.832428,41.54663,0.0,38.860626,329.0,585.33826
8597095,X,0.0,34.697266,26.240234,0.0,23.97461,27.27539,494.0,571.8711
8707585,Queer,0.0,20.125582,30.061136,0.0,0.0,69.99319,400.0,556.1334
9242841,Butch,26.557617,0.0,0.0,41.54663,0.0,28.256378,101.0,574.0032
9268841,Butch,27.08672,0.0,0.0,35.302265,0.0,33.023468,85.0,542.8528
9371160,Femme,0.0,35.489998,0.0,0.0,59.09875,0.0,703.0,554.2579
9721334,Queer,0.0,19.236465,29.5495,0.0,0.0,69.71883,394.0,578.88873
9809488,Butch,29.1375,0.0,0.0,0.0,0.0,53.008125,23.0,592.44745
9884099,Y,20.917969,0.0,0.0,79.24805,0.0,0.0,226.0,549.8163
9935770,Y,11.9086685,0.0,11.521571,56.317783,0.0,24.735268,308.0,519.37634
10034943,Queer,0.0,12.787031,22.142109,25.780624,0.0,52.98117,350.0,586.9286
10135062,Queer,0.0,10.895081,19.207,34.610596,0.0,45.218353,338.0,512.62634
10236749,Butch,27.029491,0.0,0.0,35.994835,0.0,32.49426,87.0,572.8486
10430744,Queer,0.0,24.178467,30.743408,0.0,0.0,64.539795,428.0,574.6242
10555342,Queer,0.0,11.912285,20.814873,29.808826,0.0,49.492413,345.0,589.73816
10640994,Y,11.313146,0.0,12.478831,53.741104,0.0,27.251217,312.0,553.70557
10710652,Butch,25.471874,0.0,0.0,53.08687,0.0,19.482265,131.0,574.81506
10722674,Butch,25.471874,0.0,0.0,53.08687,0.0,19.482265,131.0,562.79095
10782583,Queer,0.0,22.276344,30.685375,0.0,0.0,68.15036,416.0,547.3315
