time,section,Whisky,Elderberry,Vodka,Almdudler,Wine,Lemon Soda,rainbowX,rainbowY
1775161,Queer,0.0,22.418488,30.703388,0.0,0.0,67.93466,418.0,594.8298
1810269,Queer,0.0,23.688173,30.787827,0.0,0.0,65.7064,425.0,586.69666
1974280,Y,20.855263,0.0,0.0,79.501236,0.0,0.0,228.0,572.2704
2085431,Queer,0.0,16.768675,27.076803,10.3956375,0.0,64.726585,374.0,592.87805
2422801,Femme,0.0,34.908775,0.0,0.0,59.641167,0.0,712.0,582.4298
3150619,X,0.0,37.52347,23.893642,0.0,30.627117,14.293793,517.0,533.1553
3670799,Y,18.512962,0.0,0.0,78.46029,0.0,0.0,258.0,576.7045
3941711,X,0.0,35.12244,25.90151,0.0,24.765598,25.125896,498.0,556.5689
4049412,Y,13.798747,0.0,0.0,63.963017,0.0,17.211483,296.0,573.9709
4111107,Queer,0.0,14.814374,24.63926,17.946304,0.0,59.223804,362.0,550.0017
4192299,X,0.0,35.293663,26.017197,0.0,24.816706,25.013248,501.0,537.2675
4222565,Queer,0.0,12.566238,21.10415,28.515266,0.0,49.870647,348.0,569.57495
