time,section,Whisky,Elderberry,Vodka,Almdudler,Wine,Lemon Soda,rainbowX,rainbowY
265699,X,0.0,33.47942,27.313559,0.0,20.753796,32.674416,488.0,591.1925
402975,Queer,0.0,24.887823,30.543247,0.0,0.0,61.980083,434.0,562.4422
575438,Queer,0.0,16.48568,26.399492,12.502739,0.0,62.883446,374.0,556.094
683200,Y,0.0,0.0,14.032925,49.32741,0.0,31.389797,320.0,531.349
1592489,Femme,0.0,30.053453,0.0,0.0,69.555405,0.0,780.0,582.3571
1686474,Femme,0.0,36.967133,12.23857,0.0,52.435745,0.0,668.0,553.00824
3014219,Y,14.785345,0.0,0.0,69.38058,0.0,12.142945,284.0,594.3912
3559215,Y,12.455793,0.0,0.0,61.601734,0.0,19.805248,298.0,599.23755
3624776,Y,22.224728,0.0,0.0,66.85664,0.0,10.237701,180.0,518.21014
3643895,Femme,0.0,31.895824,0.0,0.0,65.75881,0.0,774.0,564.4097
3682778,Queer,0.0,11.682081,20.074104,31.366451,0.0,47.857822,343.0,576.7055
3788704,Queer,0.0,10.27955,18.07508,37.308674,0.0,42.823513,336.0,527.7537
3874584,Y,10.361341,0.0,11.858362,54.72134,0.0,26.904474,310.0,591.0551
3938491,Y,19.63676,0.0,0.0,73.99307,0.0,0.0,216.0,583.607
3967015,Femme,0.0,30.807575,0.0,0.0,68.20566,0.0,780.0,510.5166
4285548,Queer,0.0,12.94446,21.97823,25.70337,0.0,52.856087,352.0,518.43933
4363347,X,0.0,40.038574,22.575958,0.0,36.200546,0.0,555.0,536.9366
4769068,Queer,0.0,19.198467,28.480944,0.0,0.0,66.04669,397.0,525.33307
4849003,Queer,0.0,20.36045,28.855665,0.0,0.0,65.03819,407.0,539.2708
5109936,Queer,0.0,14.892897,24.512035,18.172413,0.0,58.89209,369.0,556.09436
5450836,Y,12.80719,0.0,0.0,65.46715,0.0,15.994594,284.0,586.2816
5674858,Y,16.811783,0.0,0.0,72.765785,0.0,0.0,242.0,568.0189
5771878,Queer,0.0,20.61806,28.371487,0.0,0.0,62.532883,413.0,569.6319
5823954,Y,12.578713,0.0,0.0,64.98503,0.0,16.374798,284.0,527.1924
5934268,Y,11.5922785,0.0,0.0,61.947113,0.0,19.48801,291.0,552.7212
5976209,Y,0.0,0.0,13.237679,49.7779,0.0,31.620514,316.0,550.6416
6114523,X,0.0,38.951443,24.372953,0.0,31.785923,11.902195,531.0,526.37683
6356016,Queer,0.0,20.005774,27.855968,0.0,0.0,61.80249,411.0,558.4726
6605390,Queer,0.0,22.98818,28.384752,0.0,0.0,57.30622,430.0,527.31506
