time,section,Whisky,Elderberry,Vodka,Almdudler,Wine,Lemon Soda,rainbowX,rainbowY
82818,Queer,0.0,20.63919,30.278778,0.0,0.0,69.832306,404.0,527.64276
217810,Queer,0.0,23.017206,30.753317,0.0,0.0,66.9268,421.0,587.3907
247409,Queer,0.0,23.713907,30.804403,0.0,0.0,65.724846,425.0,592.7495
275447,Butch,30.626846,0.0,0.0,0.0,0.0,59.59351,20.0,537.22656
840205,Queer,0.0,22.305767,30.75267,0.0,0.0,68.30823,414.0,524.6509
924490,Queer,-0.037770692,20.506927,30.168976,0.0,0.0,69.565346,400.0,580.1721
980859,Queer,0.0,21.640503,30.601494,0.0,0.0,69.04399,407.0,563.8453
995428,Queer,0.0,21.744991,30.63323,0.0,0.0,68.96338,407.0,513.3423
